location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Ireland,8/1/21,60622.079,1010.455,0.00000113,5.218,32.712,6.161513,6.040328,3.40416,3404160,,44.44,68.31678876,high,4982904,13.928,67335.293,0.0000002,0.000126459,0.00000328,0.000023,0.0000257,,0.00000296,0.955,
Isle of Man,8/1/21,50731.764,339.539,,,,,,,,,,,,85410,,,,,,,,,,,
Israel,8/1/21,94263.373,697.126,0.00000153,3.875,59.95,18.661004,11.276838,5.821149,5821149,0.046353,35.19,62.65363255,high,9291000,11.733,33132.32,0.0000005,0.00009332,0.00000674,0.0000154,0.0000354,,0.00000299,0.919,511.2582069
Italy,8/1/21,72147.266,2121.474,0.00000122,3.81,36.178,77.711955,69.176706,38.688452,38688452,,58.33,64.08824382,high,60367471,23.021,35220.084,0.000002,0.000113151,0.00000478,0.0000198,0.0000278,,0.00000318,0.892,2356.0553
Jamaica,8/1/21,17904.046,402.225,0.00000144,,,0.499515,,,,,66.67,,,2973462,9.684,8193.571,,0.000206537,0.00001128,0.0000053,0.0000286,66.425,0.0000017,0.734,
Japan,8/1/21,7432.337,120.555,0.00000157,,,17.592943,90.02364,51.677291,51677291,,50.46,40.99719529,low,126050796,27.049,39002.223,,0.00007937,0.00000572,0.0000112,0.0000337,,0.00001305,0.919,
Jersey,8/1/21,,,,,,,0.143244,0.074511,74511,,,73.71998457,high,101073,,,,,,,,,,,
Jordan,8/1/21,75153.505,978.477,0.00000113,,,,5.265074,3.004698,3004698,,51.85,29.2598263,low,10269022,3.81,8337.49,0.0000001,0.000208257,0.00001175,,,,0.0000014,0.729,
Kazakhstan,8/1/21,34177.859,477.864,0.00000096,,,,9.208838,5.408959,5408959,,62.96,28.47576183,low,18994958,6.991,24055.588,0.0000001,0.000466792,0.00000711,0.000007,0.0000431,98.999,0.0000067,0.825,
Kenya,8/1/21,3704.236,71.764,0.00000123,,,,1.726193,1.064104,1064104,,72.22,1.935237637,very low,54985702,2.686,2993.028,0.0000368,0.000218637,0.00000292,0.0000012,0.0000204,24.651,0.0000014,0.601,
Kiribati,8/1/21,16.476,,,,,,,,,,37.5,,,121388,3.895,1981.132,,0.000434657,0.00002266,0.0000359,0.0000589,,0.0000019,0.63,
